Polynomial fitting of Ghost by single and double cubic function
h	k	l	Level	LimitDist	AA	BB	CC	DD	Chi-square	A0	B0	C0	D0	Xj	A1	B1	C1	D1	Xl	Chi-square
1	0	0	0	100.000000000314	1.000000000000	-1.000000000000	0.000000000000	-0.000000000000	0.000000000000	1.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	1.000000000000	-1.000000000000	-0.000000000000	-0.000000000000	1.000000000000	0.000000000000
1	1	0	0	141.421356237754	1.000000000000	-2.000000000004	1.000000000031	-0.000000000032	0.000000000326	1.000000000000	-2.000382329169	1.390376898741	-84.847670146673	0.003189000000	0.999999999040	-1.999999993377	0.999999987926	0.000000006411	1.000000000000	0.000018062216
1	1	1	0	173.205080757160	0.999999999492	-3.000000010417	3.000000069180	-1.000000059342	0.000000000407	1.000000000000	-2.999987493841	2.996904828444	-0.873498396385	0.019400000000	1.000000001769	-3.000000022913	3.000000087736	-1.000000066593	1.000000000000	0.000020171943
2	1	0	0	111.803398875165	0.999999997057	-1.500000352761	0.500000705231	-0.000000411215	0.000000000447	1.000000000000	-1.500005981417	0.500189220269	-0.001733212407	0.071000000000	0.999999875931	-1.499999460345	0.499998878014	0.000000706401	1.000000000000	0.000021147235
2	1	1	0	122.474487139159	0.999999999772	-1.999999954973	1.249999844305	-0.249999872242	0.000000000410	1.000000000000	-2.000018062347	1.252084581487	-0.299022460788	0.029999000000	1.000000012889	-2.000000078190	1.250000145293	-0.250000079992	1.000000000000	0.000020240061
2	2	1	0	150.000000000236	0.999999999789	-2.499999993890	1.999999935551	-0.499999951796	0.000000000414	1.000000000000	-2.500005193576	2.001711667622	-0.571408360855	0.021200000000	0.999999974892	-2.499999806313	1.999999553001	-0.499999721580	1.000000000000	0.000020339484
3	1	0	0	105.409255339112	1.000000001979	-1.333333108659	0.333332871676	0.000000276480	0.000000000372	1.000000000000	-1.333256454664	0.320220882622	0.525708220978	0.016600000000	1.000000073244	-1.333333682220	0.333334107599	-0.000000498623	1.000000000000	0.000019277491
3	1	1	0	110.554159678513	0.999999998867	-1.666666677731	0.777777810052	-0.111111135838	0.000000000404	1.000000000000	-1.666658789315	0.777112333804	-0.099540220423	0.039600000000	0.999999982868	-1.666666555049	0.777777565935	-0.111110993754	1.000000000000	0.000020083566
3	2	0	0	120.185042515655	0.999999998161	-1.666666886429	0.666667106635	-0.000000256906	0.000000000363	1.000000000000	-1.666672066581	0.666910255753	-0.003153481763	0.050400000000	0.999999928993	-1.666666359151	0.666666010363	0.000000419795	1.000000000000	0.000019066532
3	2	1	0	124.721912892465	1.000000001014	-2.000000068413	1.222222470865	-0.222222394549	0.000000000411	1.000000000000	-2.000279428808	1.403724799259	-23.628516154296	0.005600000000	1.000000017722	-2.000000203349	1.222222760053	-0.222222574426	1.000000000000	0.000020242625
3	2	2	0	137.436854187255	0.999999998224	-2.333333323269	1.777777726544	-0.444444394949	0.000000000418	1.000000000000	-2.333343422190	1.778797864709	-0.467824576542	0.030200000000	0.999999977599	-2.333333189343	1.777777505846	-0.444444294102	1.000000000000	0.000020444777
3	3	1	0	145.296631451584	1.000000000038	-2.333333461951	1.666666938870	-0.333333497469	0.000000000414	1.000000000000	-2.333322561735	1.665819888325	-0.319238791787	0.040399000000	0.999999981335	-2.333333301693	1.666666573824	-0.333333253466	1.000000000000	0.000020333518
3	3	2	0	156.347191994360	1.000000000015	-2.666666648921	2.333333290538	-0.666666659880	0.000000000405	1.000000000000	-2.666667628125	2.333406254044	-0.667579224373	0.069800000000	0.999999958798	-2.666666353514	2.333332730316	-0.666666335600	1.000000000000	0.000020122575
4	1	0	0	103.077640640603	0.999999997351	-1.250000317482	0.250000634688	-0.000000370073	0.000000000353	1.000000000000	-1.250005356108	0.250168514310	-0.001534475846	0.071400000000	0.999999888002	-1.249999508608	0.249998978295	0.000000642311	1.000000000000	0.000018799440
4	1	1	0	106.066017177982	1.000000000043	-1.500000000870	0.562500008904	-0.062500008578	0.000000000425	1.000000000000	-1.499992397683	0.562179555425	-0.059500469746	0.072000000000	1.000000008746	-1.500000049305	0.562500112248	-0.062500071688	1.000000000000	0.000020600534
4	2	1	0	114.564392373896	0.999999998794	-1.749999980910	0.874999893130	-0.124999901444	0.000000000423	1.000000000000	-1.749987930164	0.873463807313	-0.086009331507	0.028601000000	1.000000001075	-1.750000008857	0.874999981318	-0.124999973536	1.000000000000	0.000020554487
4	3	0	0	125.000000000196	1.000000000293	-1.749999964751	0.749999929683	0.000000040913	0.000000000370	1.000000000000	-1.750549199735	1.133366335388	-60.000380743981	0.004200000000	1.000000010847	-1.750000050835	0.750000116110	-0.000000076121	1.000000000000	0.000019215107
5	1	1	0	103.923048454133	1.000000000157	-1.400000050367	0.440000169838	-0.040000095784	0.000000000408	1.000000000000	-1.400025141043	0.451449176241	-0.868671649563	0.010800000000	1.000000022682	-1.400000253291	0.440000646817	-0.040000416207	1.000000000000	0.000020198306
5	3	1	0	118.321595661992	1.000000000703	-1.800000007295	0.920000032524	-0.120000032001	0.000000000402	1.000000000000	-1.799998888947	0.919947947329	-0.119509946984	0.088800000000	1.000000061540	-1.800000405877	0.920000781162	-0.120000436825	1.000000000000	0.000020052291
5	3	3	0	131.148770486040	1.000000001860	-2.199999850476	1.559999573383	-0.359999717913	0.000000000416	1.000000000000	-2.199986897709	1.559213431041	-0.348760682732	0.046399000000	1.000000044075	-2.200000154718	1.560000171681	-0.360000061038	1.000000000000	0.000020374737
5	5	1	0	142.828568571081	1.000000000621	-2.199999914671	1.399999731851	-0.199999801302	0.000000000420	1.000000000000	-2.199993561388	1.399377421718	-0.187409995914	0.037600000000	1.000000038216	-2.200000199444	1.400000324415	-0.200000163187	1.000000000000	0.000020495543
5	5	3	0	153.622914957614	0.999999998466	-2.599999971408	2.199999799190	-0.599999805970	0.000000000421	1.000000000000	-2.600620125648	2.766762167731	-113.667715902654	0.003400000000	0.999999999390	-2.600000017504	2.199999971060	-0.599999952945	1.000000000000	0.000020508636
7	1	1	0	102.020406122041	0.999999999127	-1.285714275272	0.306122511475	-0.020408239246	0.000000000415	1.000000000000	-1.284998652587	-0.002282849418	0.846024100850	0.002368000000	0.999999976346	-1.285714108103	0.306122184349	-0.020408052592	1.000000000000	0.000020351422
7	3	1	0	109.730653540980	0.999999998408	-1.571428533481	0.632652915895	-0.061224376720	0.000000000410	1.000000000000	-1.571412048672	0.628902353553	0.086292822197	0.019600000000	0.999999992284	-1.571428494678	0.632652858179	-0.061224355785	1.000000000000	0.000020251295
7	3	3	0	116.933611026749	0.999999999881	-1.857142954533	1.040816700293	-0.183673781968	0.000000000415	1.000000000000	-1.857148413222	1.040996606706	-0.185000040395	0.094400000000	0.999999939303	-1.857142533083	1.040815883029	-0.183673289248	1.000000000000	0.000020363805
7	5	1	0	123.717914826348	1.000000000203	-1.857142942205	0.959183882702	-0.102040962309	0.000000000413	1.000000000000	-1.857134491683	0.958560867769	-0.092814984535	0.048199000000	0.999999987868	-1.857142821547	0.959183585155	-0.102040751476	1.000000000000	0.000020321860
7	5	3	0	130.149051130633	0.999999999078	-2.142857098796	1.448979512200	-0.306122404362	0.000000000418	1.000000000000	-2.142869699744	1.449774688566	-0.316833900680	0.023601000000	1.000000006055	-2.142857159028	1.448979655318	-0.306122502345	1.000000000000	0.000020433048
7	5	5	0	142.141062443803	1.000000000789	-2.428571414447	1.938775441019	-0.510204015675	0.000000000415	1.000000000000	-2.428562529135	1.938362262489	-0.505765590247	0.061800000000	1.000000030305	-2.428571629361	1.938775892485	-0.510204293429	1.000000000000	0.000020362540
9	1	1	0	101.227039768270	0.999999999775	-1.222222200918	0.234567742313	-0.012345515889	0.000000000416	1.000000000000	-1.222408273193	0.327552406477	-10.086620893820	0.006199000000	1.000000021105	-1.222222399015	0.234568217143	-0.012345839234	1.000000000000	0.000020389298
9	3	1	0	105.993244601883	1.000000001541	-1.444444484013	0.481481708853	-0.037037258656	0.000000000414	1.000000000000	-1.444462046493	0.486680187658	-0.277192917829	0.017800000000	0.999999976191	-1.444444257647	0.481481182518	-0.037036901062	1.000000000000	0.000020344478
1	0	0	1	100.000000000000	0.999999976409	-1.000041442810	-0.000012867038	0.000011174075	0.000000014024	1.000000000000	-1.000082707246	0.000164424585	-0.000155777127	0.923576000000	0.165876590937	1.614017622290	-2.730095020372	0.950200807145	1.000000000000	0.000345350750
1	1	0	1	140.949951715220	1.000000654100	-1.993342635481	0.993251329839	0.000093049597	0.000000037209	1.000000000000	-1.986545708143	-0.107617875911	11.137339612266	0.003200000000	1.000011090236	-1.993420639529	0.993406769495	0.000002779798	1.000000000000	0.000021307125
